day,depth,distance,gap,hour,id,latitude,longitude,magnitude,minute,month,area,second,significance,time.full,year
25,10,0.57492178,234,4,pr16238001,18.7612,-66.18,2.5,34,8,Puerto Rico,46,96,8/25/2016 4:34,2016
25,45,0.7051775,302.4,10,pr16238009,19.1231,-64.6875,2.5,21,8,British Virgin Islands,46,96,8/25/2016 10:21,2016
25,45,0.74021179,302.4,15,pr16238028,19.1543,-64.724,2.5,28,8,British Virgin Islands,26,96,8/25/2016 15:28,2016
25,50.2,0,0,17,us20006u22,53.5989,-163.3521,2.5,16,8,Alaska,13,96,8/25/2016 17:16,2016
25,11.3,0,0,19,ak13879047,52.0884,177.2063,2.5,28,8,Alaska,8,96,8/25/2016 19:28,2016
12,2.272,0.005797,46,4,hv61372231,19.3808333,-155.283,2.52,28,8,Hawaii,4,98,8/12/2016 4:28,2016
12,8.935,0.04364,41,12,hv61372426,19.4156667,-155.4623333,2.53,22,8,Hawaii,14,98,8/12/2016 12:22,2016
16,4.76,0.05081,102,19,nc72678456,37.4893333,-118.7855,2.53,49,8,California,16,98,8/16/2016 19:49,2016
29,3.01,0.0218,69,9,ci37642496,33.1893333,-115.6475,2.54,7,7,California,58,100,7/29/2016 9:07,2016
31,6.74,0.03439,58,7,nc72669891,38.4051667,-122.2561667,2.54,17,7,California,18,101,7/31/2016 7:17,2016
20,2.949,0.0103,95,0,hv61380346,19.3795,-155.2316667,2.55,17,8,Hawaii,6,100,8/20/2016 0:17,2016
28,-1.58,0.3667,89,2,nc72667356,38.6791667,-119.8236667,2.56,50,7,Nevada,1,102,7/28/2016 2:50,2016
17,14.53,0.1922,276,17,uw61180472,49.0446667,-121.6626667,2.56,29,8,Canada,33,101,8/17/2016 17:29,2016
25,2.57,0.005842,45,12,hv61388846,19.3848324,-155.245163,2.56,2,8,Hawaii,18,101,8/25/2016 12:02,2016
29,6.17,0.05368,54,22,nc72668586,39.8576667,-123.5091667,2.57,49,7,California,3,102,7/29/2016 22:49,2016
25,44.5,0.1704,201,10,hv61388781,20.0286674,-155.4425049,2.57,56,8,Hawaii,17,102,8/25/2016 10:56,2016
6,1.84,0.00762,47,0,hv61365521,19.4029999,-155.2743378,2.58,48,8,Hawaii,41,102,8/6/2016 0:48,2016
9,11.23,0.1404,38,23,nc72672625,39.309,-122.7843333,2.58,8,8,California,26,103,8/9/2016 23:08,2016
13,0.08,0.1259,171,15,nc71015527,37.4975,-118.8205,2.58,24,8,California,38,102,8/13/2016 15:24,2016
19,0.7,0.2842,52,6,ci37665024,35.6155,-116.3005,2.58,1,8,California,9,103,8/19/2016 6:01,2016
21,38.44,0.03573,94,6,hv61382126,19.2255001,-155.4698334,2.58,7,8,Hawaii,35,102,8/21/2016 6:07,2016
10,11.25,0.6733,145,18,uw61192606,48.9451667,-120.6663333,2.59,30,8,Washington,2,103,8/10/2016 18:30,2016
13,9.65,0.02615,40,6,nc72676501,37.8095,-121.953,2.59,28,8,California,23,118,8/13/2016 6:28,2016
13,5.67,0.04753,103,14,nc72676711,37.4833333,-118.7811667,2.59,14,8,California,55,103,8/13/2016 14:14,2016
21,13.04,0.05311,182,8,nc72682081,35.7536667,-121.307,2.59,4,8,California,47,104,8/21/2016 8:04,2016
27,12.3,0.1293574,158.3999873,4,ak13805719,54.9592,-159.6299,2.6,20,7,Alaska,37,104,7/27/2016 4:20,2016
27,4.586,0,36,11,us20006i3b,35.8525,-97.2357,2.6,36,7,Oklahoma,26,104,7/27/2016 11:36,2016
28,34.5,0.8516029,223.1999821,6,ak13832367,52.0942,-170.6218,2.6,16,7,Alaska,0,104,7/28/2016 6:16,2016
28,25,1.29447232,288,7,pr16210007,19.6149,-65.2881,2.6,39,7,Puerto Rico,29,104,7/28/2016 7:39,2016
29,84.8,0.2425451,158.3999873,5,ak13817027,53.0032,-169.541,2.6,1,7,Alaska,22,104,7/29/2016 5:01,2016
29,10.5,0.3126137,25.19999798,6,ak13817044,63.0314,-151.5678,2.6,1,7,Alaska,26,104,7/29/2016 6:01,2016
29,2.9,1.172301,219.5999824,7,ak13817075,51.864,-171.0013,2.6,38,7,Alaska,56,104,7/29/2016 7:38,2016
30,113.7,0,0,4,ak13818967,58.7883,-154.57,2.6,40,7,Alaska,37,104,7/30/2016 4:40,2016
30,17,0.14912034,68.4,17,pr16212008,18.1809,-66.8564,2.6,5,7,Puerto Rico,43,104,7/30/2016 17:05,2016
31,51.8,0.701,223,20,us10006crw,53.4756,-165.1874,2.6,44,7,Alaska,21,104,7/31/2016 20:44,2016
31,235.8,0.446,197,21,us10006cs9,52.5292,-176.2105,2.6,1,7,Alaska,9,104,7/31/2016 21:01,2016
1,207.91,0.14,166,8,us100069c3,52.051,178.7001,2.6,56,8,Alaska,1,104,8/1/2016 8:56,2016
1,101.2,0,61.1999951,14,ak13823849,59.7402,-153.1095,2.6,31,8,Alaska,50,104,8/1/2016 14:31,2016
2,130.5,0,46.79999626,1,ak13825769,59.9456,-153.4122,2.6,12,8,Alaska,3,104,8/2/2016 1:12,2016
2,42,0.30093562,277.2,2,pr16215000,18.7143,-64.6757,2.6,40,8,British Virgin Islands,18,104,8/2/2016 2:40,2016
2,8.1,0,183.5999853,5,ak13840327,52.3022,-173.1535,2.6,21,8,Alaska,27,104,8/2/2016 5:21,2016
2,20,0,201.5999839,6,ak13840333,51.9607,175.8219,2.6,51,8,Alaska,52,104,8/2/2016 6:51,2016
3,25.8,0,205.1999836,2,ak13829106,51.8213,-173.1301,2.6,4,8,Alaska,19,104,8/3/2016 2:04,2016
3,16.5,0,226.7999819,10,ak13829249,51.1357,-176.3201,2.6,19,8,Alaska,40,104,8/3/2016 10:19,2016
3,70.2,0,187.199985,16,ak13829360,52.1016,-174.2688,2.6,7,8,Alaska,25,104,8/3/2016 16:07,2016
4,9.44,0.08279,146,0,nc72670075,40.1546667,-120.2011667,2.6,58,8,California,19,129,8/4/2016 0:58,2016
4,87.9,0,0,11,ak13830123,62.167,-151.6705,2.6,17,8,Alaska,15,104,8/4/2016 11:17,2016
5,26,0.5407858,334.8,1,pr16218003,18.7525,-64.1669,2.6,28,8,British Virgin Islands,13,104,8/5/2016 1:28,2016
6,44.8,0,75.59999395,16,ak13833681,58.007,-152.934,2.6,2,8,Alaska,49,104,8/6/2016 16:02,2016
6,115,1.06540193,273.6,22,pr16220000,19.3735,-65.4057,2.6,33,8,Puerto Rico,22,104,8/6/2016 22:33,2016
7,80,0.15720517,226.8,6,pr16220005,18.4955,-64.7601,2.6,56,8,British Virgin Islands,40,104,8/7/2016 6:56,2016
